"","COUNTY","par_1","par_2"
"297","Litchfield County, Connecticut",0.515916902051867,0.39800847608302
"298","New Haven County, Connecticut",0.642296071493958,0.380427948713961
"299","Tolland County, Connecticut",0.574654946639065,0.490842496541427
"300","Middlesex County, Connecticut",0.585388931823815,0.443117490252623
"301","Windham County, Connecticut",0.659185075582728,0.529751784899488
"302","New Castle County, Delaware",0.606928874319038,0.437569855481971
"303","Sussex County, Delaware",0.540463774686074,0.447767769787988
"304","Kent County, Delaware",0.665929666529882,0.555652907034658
"305","St Johns County, Florida",0.525446597833957,0.309189968707715
"306","Hamilton County, Florida",0.828505570857771,0.501497748121493
"307","Flagler County, Florida",0.407399250207895,0.359970351227306
"308","Martin County, Florida",0.470123731824207,0.234918389550982
"309","Lee County, Florida",0.46896332632094,0.300229335184965
"310","Osceola County, Florida",0.5613373669952,0.468510265827688
"311","Hernando County, Florida",0.538646195204796,0.441854542216634
"312","Gilchrist County, Florida",0.607337089991697,0.468819326777196
"313","Lake County, Florida",0.523583940580282,0.431226839314862
"314","Hardee County, Florida",0.643243723097063,0.450739742028347
"315","Wakulla County, Florida",0.604842192032461,0.524129753152362
"316","Nassau County, Florida",0.444453931552968,0.335337615704245
"317","Citrus County, Florida",0.514709631818233,0.380538948114491
"318","Jefferson County, Florida",0.658354068162778,0.41930669523352
"319","Lafayette County, Florida",0.771195995450183,0.458329630507857
"320","Monroe County, Florida",0.466403678127383,0.218083718742843
"321","Brevard County, Florida",0.571470224223282,0.411576897930678
"322","Suwannee County, Florida",0.615825222084916,0.446663933158478
"323","Okaloosa County, Florida",0.509343126230289,0.398909672669499
"324","Dixie County, Florida",0.542095295591378,0.365769604116742
"325","Charlotte County, Florida",0.491840042067875,0.393378236613729
"326","Seminole County, Florida",0.586065265013023,0.40740165264222
"327","Hendry County, Florida",0.565145744100891,0.360144183382306
"328","Marion County, Florida",0.456343447016341,0.366049079622907
"329","Glades County, Florida",0.570875568226988,0.371310060246919
"330","Polk County, Florida",0.521903290744602,0.403720724934069
"331","St Lucie County, Florida",0.533816809482782,0.374535182188138
"332","Putnam County, Florida",0.765738570194981,0.46394781348206
"333","Clay County, Florida",0.578933170475243,0.499346597942118
