"","COUNTY","alpha","gamma","Gini"
"770","Divide County, North Dakota",0.763052464652089,0.550162953947031,0.530790578433415
"771","Dixie County, Florida",0.542095295591378,0.634230395883258,0.562044503412608
"772","Dixon County, Nebraska",0.579407628223342,0.415874516708146,0.413767951293189
"773","Doddridge County, West Virginia",0.67149459228716,0.488014447618189,0.475455376924229
"774","Dodge County, Georgia",0.797004191496517,0.558160214736111,0.541093042400456
"775","Dodge County, Minnesota",0.528528375100562,0.439406191076963,0.417671823822872
"776","Dodge County, Nebraska",0.512896684465866,0.501805743810348,0.455790865119862
"777","Dodge County, Wisconsin",0.428181124814379,0.505237925012296,0.44161556336548
"778","Dolores County, Colorado",0.905492865696428,0.44437437448607,0.488599206000551
"779","Doniphan County, Kansas",0.54415554161685,0.483882927802286,0.449567225029641
"780","Donley County, Texas",0.631919792377951,0.518957064875106,0.488955732936783
"781","Dooly County, Georgia",0.709103362499222,0.608930393679138,0.565229846259953
"782","Door County, Wisconsin",0.465454106925767,0.588027198684455,0.511873816096557
"783","Dorchester County, Maryland",0.613217224080066,0.562732418899752,0.516679457775645
"784","Dorchester County, South Carolina",0.709652425600739,0.427795580131527,0.446020394561587
"785","Dougherty County, Georgia",0.827317024469609,0.615623691643134,0.585598756990454
"786","Douglas County, Colorado",0.437003854513283,0.548440036801222,0.475589686959707
"787","Douglas County, Georgia",0.615940006670795,0.465443762994117,0.451198240611708
"788","Douglas County, Illinois",0.545452724624572,0.475605137492467,0.444335417473479
"789","Douglas County, Kansas",0.734188970370789,0.540857713293943,0.520196988289403
"790","Douglas County, Minnesota",0.507988871040731,0.582052779338779,0.514228740144527
"791","Douglas County, Missouri",0.699700256554023,0.485512391327187,0.478733492532471
"792","Douglas County, Nebraska",0.599484834403013,0.5827244402536,0.529411771084133
"793","Douglas County, Nevada",0.351972241985105,0.745887957554368,0.644233327004097
"794","Douglas County, Oregon",0.572948744841324,0.561384271993114,0.509166224873837
"795","Douglas County, South Dakota",0.522892455120728,0.55190909174422,0.493661231575088
"796","Douglas County, Washington",0.450958062537107,0.524566980922574,0.460234601026664
"797","Douglas County, Wisconsin",0.675657554886245,0.473448877974471,0.467043917154367
"798","Do�a Ana County, New Mexico",0.784140439853642,0.532014294742204,0.521893227557341
"799","Drew County, Arkansas",0.826645319422673,0.593576182386635,0.569607445424604
"800","Dubois County, Indiana",0.333188141028714,0.640883066778007,0.535494832442881
"801","Dubuque County, Iowa",0.503542639211436,0.547610472548818,0.487056378728003
"802","Duchesne County, Utah",0.441450320937315,0.554077228962452,0.480766602116542
"803","Dukes County, Massachusetts",0.611233841888152,0.583197395507763,0.53158218572897
"804","Dundy County, Nebraska",0.442931927230409,0.59912322499355,0.51717062474241
"805","Dunklin County, Missouri",0.742212661404135,0.569260615474548,0.540905883191662
"806","Dunn County, North Dakota",0.650202953515933,0.646935575460499,0.587503873116867
"807","Dunn County, Wisconsin",0.624576201400353,0.480488056262234,0.462331366521026
"808","DuPage County, Illinois",0.520843150450615,0.619653687080105,0.546681903048352
"809","Duplin County, North Carolina",0.689188542667925,0.533280365448641,0.508071939153278
"810","Durham County, North Carolina",0.71272949257509,0.535546899234541,0.513313622317782
"811","Dutchess County, New York",0.583415166254253,0.567863226295298,0.515689539524383
"812","Duval County, Florida",0.588011291347704,0.632939478102367,0.567512625858058
"813","Duval County, Texas",0.803589405343923,0.561166181472221,0.54405402986018
"814","Dyer County, Tennessee",0.642555760287988,0.541741112268396,0.506394352954142
"815","Eagle County, Colorado",0.393539137340477,0.673113621316243,0.575306473069568
"816","Early County, Georgia",0.843495115327964,0.555171057005298,0.545605548618003
"817","East Baton Rouge Parish, Louisiana",0.682156967991187,0.632119723013398,0.579658788437901
"818","East Carroll Parish, Louisiana",0.63812714033794,0.71432551863119,0.64528797685907
"819","East Feliciana Parish, Louisiana",0.780755897219633,0.470117012749597,0.482993746710937
"820","Eastland County, Texas",0.565825236685646,0.650610088536877,0.579337418866867
"821","Eaton County, Michigan",0.556823772761361,0.479466848835744,0.449062403022711
"822","Eau Claire County, Wisconsin",0.520227226102145,0.61052615985845,0.539054202196336
"823","Echols County, Georgia",0.46589545109763,0.739608966447148,0.650941671682078
"824","Ector County, Texas",0.489453223719395,0.593872908780066,0.520596337333677
"825","Eddy County, New Mexico",0.503440303963359,0.613320591557297,0.538747212790932
"826","Eddy County, North Dakota",0.608310106061064,0.530899716723318,0.49315561923039
"827","Edgar County, Illinois",0.706560177224087,0.537652269252636,0.513770448278847
"828","Edgecombe County, North Carolina",0.642350480028534,0.553768969910085,0.514846594826032
"829","Edgefield County, South Carolina",0.696488835518566,0.479406175617121,0.474378988000933
"830","Edmonson County, Kentucky",0.77606203832022,0.444612639526174,0.467415644886286
"831","Edmunds County, South Dakota",0.601251694439021,0.574453712705605,0.523454471549427
"832","Edwards County, Illinois",0.696412874946987,0.438460816893544,0.449741190046416
"833","Edwards County, Kansas",0.535006333001015,0.532350635990754,0.481456075416561
"834","Edwards County, Texas",0.576256935630918,0.648551266579232,0.579000920049606
"835","Effingham County, Georgia",0.625490782439665,0.392664787669973,0.409793834669782
"836","Effingham County, Illinois",0.444775750340466,0.624945762482043,0.539357971445533
"837","El Dorado County, California",0.623573937475863,0.603650497649431,0.549111922834143
"838","El Paso County, Colorado",0.631920213154394,0.509490152315737,0.482591344707746
"839","El Paso County, Texas",0.663996356024859,0.544945420225553,0.512070727042167
"840","Elbert County, Colorado",0.559457987769967,0.48058668142693,0.450301685439961
"841","Elbert County, Georgia",0.732491801546738,0.525745615593857,0.509887600703514
"842","Elk County, Kansas",0.527716372254423,0.564122856167934,0.503676823325909
"843","Elk County, Pennsylvania",0.479076953268385,0.52790310070115,0.468018428129634
"844","Elkhart County, Indiana",0.449924634044583,0.586858314109223,0.508282530915674
"845","Elko County, Nevada",0.523842729276592,0.491445568842356,0.450765879157175
"846","Elliott County, Kentucky",0.996014026992663,0.467350414221557,0.514668544746619
"847","Ellis County, Kansas",0.607357837546189,0.573756582400636,0.523892516639647
"848","Ellis County, Oklahoma",0.630796468429624,0.621566077587927,0.564263447648322
"849","Ellis County, Texas",0.62170138930966,0.473722958943792,0.457493542064671
"850","Ellsworth County, Kansas",0.569142918110653,0.484726899898331,0.454861021879658
"851","Elmore County, Alabama",0.652322416348669,0.433244738571322,0.4384535766737
"852","Elmore County, Idaho",0.598312344546827,0.432516926316358,0.427537822112334
"853","Emanuel County, Georgia",0.789074902747215,0.528134253515248,0.520119824276081
"854","Emery County, Utah",0.567624144122742,0.389781157683981,0.396051392092344
"855","Emmet County, Iowa",0.610052016380485,0.482400203322289,0.460916770972493
"856","Emmet County, Michigan",0.460843857849347,0.630540265370999,0.546721856222587
"857","Emmons County, North Dakota",0.599993634443847,0.553908165064498,0.508121310986247
"858","Emporia city, Virginia",1.03234897307207,0.550682595034653,0.567447609498012
"859","Erath County, Texas",0.786721944288341,0.574629230356253,0.550945762428615
"860","Erie County, New York",0.633122079127998,0.605525350068509,0.551956454493846
"861","Erie County, Ohio",0.566901238826181,0.534658500819821,0.488712442147301
"862","Erie County, Pennsylvania",0.592842070189983,0.566175189398374,0.515952149153837
"863","Escambia County, Alabama",0.719692462355655,0.547233564305951,0.522311411472334
"864","Escambia County, Florida",0.514539569424064,0.593785323723179,0.524605585748909
"865","Essex County, Massachusetts",0.6456447390293,0.635548825604821,0.577563958233719
"866","Essex County, New Jersey",0.719804573397337,0.746541686618601,0.684086923502722
